model,epoch,train_loss,val_loss,val_acc_pct,val_auc
ShallowCNN,1,0.3451917119139935,0.2232225727593732,91.06910408059314,0.9765255925488454
ShallowCNN,2,0.16115514059550587,0.14475265467630405,94.50449940573887,0.9886127299470483
ShallowCNN,3,0.10680339811319703,0.0975306501333867,96.46839096723075,0.9936474048411694
ShallowCNN,4,0.07659283690156661,0.08574832910040898,96.97209802478918,0.9949834121251705
ShallowCNN,5,0.0549256203151011,0.08118307127002866,97.24941988793933,0.9957083351383202
ShallowCNN,6,0.039572941710921246,0.08124844346651225,97.21546210877808,0.9960975108904965
ShallowCNN,7,0.029477857564244904,0.08735608005753578,97.04567321297188,0.996563040217769
ShallowCNN,8,0.021170552999785423,0.09908990647685419,97.1475465504556,0.9963984149084344
ShallowCNN,9,0.01571850033201911,0.09911185629347144,97.01737506367084,0.9970569161457727
ShallowCNN,10,0.011777076121237297,0.08326231451363858,97.71350953647632,0.997087196661216
